Team,P1 Players,P2 Players,P3 Players,Weight
Alabama,2,2,4,20,20,20
Alabama State,0,0,1,1,1,1
Appalachian State,0,0,1,1,1,1
Arizona,1,2,1,12,12,12
Arizona State,1,1,1,9,9,9
Arkansas,0,1,3,6,6,6
Arkansas State,0,0,1,1,1,1
Auburn,2,1,2,15,15,15
BYU,0,0,2,2,2,2
Baylor,3,2,2,23,23,23
Belmont,0,1,3,6,6,6
Binghamton,0,0,1,1,1,1
Boise State,0,0,1,1,1,1
Brown,0,0,1,1,1,1
Buffalo,0,0,3,3,3,3
Butler,0,0,2,2,2,2
CS Fullerton,0,0,1,1,1,1
California,0,0,1,1,1,1
California Baptist,0,0,1,1,1,1
Charlotte,0,0,1,1,1,1
Chattanooga,0,0,1,1,1,1
Cincinnati,0,0,4,4,4,4
Clemson,0,0,1,1,1,1
Coastal Carolina,0,0,1,1,1,1
College of Charleston,0,0,1,1,1,1
Colorado,0,1,1,4,4,4
Colorado State,0,2,0,6,6,6
Connecticut,0,3,2,11,11,11
Creighton,0,0,3,3,3,3
Davidson,0,1,2,5,5,5
Dayton,0,1,3,6,6,6
Depaul,0,3,2,11,11,11
Detroit Mercy,0,1,1,4,4,4
Duke,3,3,1,25,25,25
Duquesne,0,0,1,1,1,1
East Carolina,0,0,1,1,1,1
Eastern Kentucky,0,0,1,1,1,1
Evansville,0,0,1,1,1,1
Florida,1,0,3,8,8,8
Florida A&M,0,0,1,1,1,1
Florida Atlantic,0,0,1,1,1,1
Florida Gulf Coast,0,0,1,1,1,1
Florida State,1,1,2,10,10,10
Fordham,0,0,1,1,1,1
Fresno State,0,1,1,4,4,4
Furman,0,0,1,1,1,1
George Mason,0,0,2,2,2,2
George Washington,0,0,3,3,3,3
Georgetown,0,0,1,1,1,1
Georgia,0,1,0,3,3,3
Georgia Tech,0,1,0,3,3,3
Gonzaga,5,1,1,29,29,29
Grand Canyon,0,1,1,4,4,4
Harvard,0,0,1,1,1,1
Hofstra,0,0,2,2,2,2
Houston,1,0,2,7,7,7
Howard,0,0,1,1,1,1
Illinois,1,2,1,12,12,12
Indiana,2,3,2,21,21,21
Iona,0,0,1,1,1,1
Iowa,1,0,2,7,7,7
Iowa State,0,1,2,5,5,5
James Madison,0,0,1,1,1,1
Kansas,2,0,2,12,12,12
Kansas State,0,0,1,1,1,1
Kentucky,3,3,2,26,26,26
LSU,1,1,2,10,10,10
La Salle,0,1,0,3,3,3
Lamar,0,0,1,1,1,1
Liberty,0,0,1,1,1,1
Louisiana Lafayette,0,1,1,4,4,4
Louisiana Tech,0,0,1,1,1,1
Louisville,0,2,3,9,9,9
Loyola Marymount,0,0,1,1,1,1
Marquette,0,2,1,7,7,7
Marshall,1,0,0,5,5,5
Maryland,0,0,5,5,5,5
Memphis,3,3,3,27,27,27
Miami (FL),0,1,1,4,4,4
Michigan,4,1,2,25,25,25
Michigan State,1,3,4,18,18,18
Mississippi,1,1,0,8,8,8
Mississippi State,0,2,4,10,10,10
Missouri,0,0,1,1,1,1
Missouri State,0,0,1,1,1,1
Murray State,0,0,1,1,1,1
Nebraska,1,0,2,7,7,7
Nevada Reno,0,1,2,5,5,5
North Carolina,0,5,3,18,18,18
North Carolina State,0,1,4,7,7,7
North Dakota State,0,0,1,1,1,1
North Texas,0,0,1,1,1,1
Northern Iowa,0,1,0,3,3,3
Northern Kentucky,0,0,1,1,1,1
Northwestern,0,0,2,2,2,2
Notre Dame,0,0,2,2,2,2
Ohio State,1,1,2,10,10,10
Oklahoma,0,0,1,1,1,1
Oklahoma State,1,3,3,17,17,17
Oral Roberts,1,0,0,5,5,5
Oregon,2,1,2,15,15,15
Oregon State,0,1,1,4,4,4
Penn State,0,1,0,3,3,3
Pittsburgh,0,0,1,1,1,1
Presbyterian,0,0,1,1,1,1
Princeton,0,1,0,3,3,3
Providence,0,0,4,4,4,4
Purdue,1,1,3,11,11,11
Rhode Island,0,1,1,4,4,4
Richmond,0,0,3,3,3,3
Robert Morris (PA),0,0,1,1,1,1
Rutgers,1,1,1,9,9,9
San Diego State,0,0,3,3,3,3
San Francisco,0,0,1,1,1,1
Seton Hall,0,0,5,5,5,5
South Alabama,0,1,0,3,3,3
South Carolina,0,0,3,3,3,3
South Florida,0,0,1,1,1,1
Southern Methodist,0,0,2,2,2,2
Southern Mississippi,0,0,1,1,1,1
St. Bonaventure,0,2,1,7,7,7
St. Johns (NY),0,1,2,5,5,5
St. Louis,0,1,0,3,3,3
Stanford,1,1,1,9,9,9
Stony Brook,0,0,1,1,1,1
Syracuse,1,0,2,7,7,7
TCU,0,2,3,9,9,9
Tennessee,4,0,2,22,22,22
Texas,1,2,3,14,14,14
Texas A&M,0,0,2,2,2,2
Texas Tech,1,0,3,8,8,8
Toledo,0,0,1,1,1,1
UAB,0,0,2,2,2,2
UC Santa Barbara,0,0,1,1,1,1
UCF,0,1,1,4,4,4
UCLA,2,1,4,17,17,17
UNC Greensboro,0,0,1,1,1,1
UNC Wilmington,0,1,0,3,3,3
UNLV,0,2,0,6,6,6
USC,1,2,1,12,12,12
UTEP,0,0,1,1,1,1
UW Milwaukee,1,0,0,5,5,5
Umass,0,0,1,1,1,1
Utah,0,1,3,6,6,6
VCU,0,0,1,1,1,1
Vanderbilt,0,0,2,2,2,2
Villanova,1,3,3,17,17,17
Virginia,0,1,2,5,5,5
Virginia Tech,0,0,2,2,2,2
Wake Forest,0,1,1,4,4,4
Washington,1,0,2,7,7,7
Washington State,1,1,1,9,9,9
West Virginia,0,0,2,2,2,2
Western Kentucky,0,0,2,2,2,2
Wichita State,0,0,2,2,2,2
Winthrop,0,0,1,1,1,1
Wisconsin,0,0,1,1,1,1
Xavier (OH),0,0,2,2,2,2
Yale,0,0,1,1,1,1
